ID,Site,Mass_g,Resp_mLperHr,Temp ,FIG
X57,CS,14.61,2.590875,28,FIG
X78,CS,13.84,2.838,28,FIG
X108,CS,10.52,2.458125,28,FIG
L19,CS,7.88,3.867375,36,FIG
R68,CS,13.04,4.33275,36,FIG
W6,CS,8.29,4.027125,36,FIG
W109,CS,8.43,3.812625,36,FIG
WW29,CS,9.46,3.6585,36,FIG
X78,CS,13.84,4.677,36,FIG
X108,CS,10.52,3.681375,36,FIG
W46,CS,9.12,4.10325,36,FIG
W59,CS,9.6,4.025625,36,FIG
